amount,base,currency,time
63300.09,BTC,USD,26-Apr-2024 12:08:59
63403.855,BTC,USD,26-Apr-2024 12:09:48
63887.205,BTC,USD,26-Apr-2024 19:21:26
63930.575,BTC,USD,26-Apr-2024 19:26:27
63832.89,BTC,USD,26-Apr-2024 19:37:49
63799.415,BTC,USD,26-Apr-2024 19:42:42
63875.915,BTC,USD,26-Apr-2024 19:50:49
63863.69,BTC,USD,26-Apr-2024 19:58:50
63834.11,BTC,USD,26-Apr-2024 20:08:52
64022.685,BTC,USD,26-Apr-2024 20:20:38
63879.12,BTC,USD,26-Apr-2024 20:28:19
63955.715,BTC,USD,26-Apr-2024 20:37:19
63895.43,BTC,USD,26-Apr-2024 20:45:16
63919.82,BTC,USD,26-Apr-2024 20:53:23
63929.33,BTC,USD,26-Apr-2024 21:01:13
63879.48,BTC,USD,26-Apr-2024 21:11:19
63864.02,BTC,USD,26-Apr-2024 21:20:11
63852.27,BTC,USD,26-Apr-2024 21:28:14
63857.46,BTC,USD,26-Apr-2024 21:37:06
63969.34,BTC,USD,26-Apr-2024 21:44:33
64031.135,BTC,USD,26-Apr-2024 21:52:51
64008.55,BTC,USD,26-Apr-2024 22:01:14
63927.125,BTC,USD,26-Apr-2024 22:10:56
63947.325,BTC,USD,26-Apr-2024 22:23:15
63835.745,BTC,USD,26-Apr-2024 22:32:26
63794.075,BTC,USD,26-Apr-2024 22:40:31
63771.885,BTC,USD,26-Apr-2024 22:48:42
63770.27,BTC,USD,26-Apr-2024 22:56:50
63870.235,BTC,USD,26-Apr-2024 23:06:32
63758.245,BTC,USD,26-Apr-2024 23:17:48
63788.185,BTC,USD,26-Apr-2024 23:27:09
63761.935,BTC,USD,26-Apr-2024 23:34:50
63779.845,BTC,USD,26-Apr-2024 23:42:54
63801.745,BTC,USD,26-Apr-2024 23:50:33
63739.17,BTC,USD,26-Apr-2024 23:58:32
63770.965,BTC,USD,27-Apr-2024 00:24:29
63027.39,BTC,USD,27-Apr-2024 00:46:50
62941.385,BTC,USD,27-Apr-2024 01:17:07
62703.835,BTC,USD,27-Apr-2024 01:39:55
62549.84,BTC,USD,27-Apr-2024 02:01:42
62883.17,BTC,USD,27-Apr-2024 02:16:55
63146.2,BTC,USD,27-Apr-2024 02:29:48
63070.3,BTC,USD,27-Apr-2024 02:38:44
63038.98,BTC,USD,27-Apr-2024 02:46:48
62985.47,BTC,USD,27-Apr-2024 02:55:08
62836.585,BTC,USD,27-Apr-2024 03:04:42
63017.07,BTC,USD,27-Apr-2024 03:15:29
63056.675,BTC,USD,27-Apr-2024 03:26:33
63055.145,BTC,USD,27-Apr-2024 03:34:57
63082.07,BTC,USD,27-Apr-2024 03:43:01
63107.765,BTC,USD,27-Apr-2024 03:50:44
63083.34,BTC,USD,27-Apr-2024 03:58:54
62970.99,BTC,USD,27-Apr-2024 04:08:57
62937.335,BTC,USD,27-Apr-2024 04:21:05
63068.915,BTC,USD,27-Apr-2024 04:30:36
63047.17,BTC,USD,27-Apr-2024 04:38:48
63043.225,BTC,USD,27-Apr-2024 04:47:17
62940.06,BTC,USD,27-Apr-2024 04:55:07
63017.575,BTC,USD,27-Apr-2024 05:03:54
62908.17,BTC,USD,27-Apr-2024 05:15:11
62966.475,BTC,USD,27-Apr-2024 05:25:16
62986.91,BTC,USD,27-Apr-2024 05:33:17
63049.995,BTC,USD,27-Apr-2024 05:41:42
62959.465,BTC,USD,27-Apr-2024 05:49:26
62968.735,BTC,USD,27-Apr-2024 05:57:39
62959.465,BTC,USD,27-Apr-2024 06:08:10
63008.44,BTC,USD,27-Apr-2024 06:20:28
62904.315,BTC,USD,27-Apr-2024 06:31:23
62971.195,BTC,USD,27-Apr-2024 06:39:21
62966.07,BTC,USD,27-Apr-2024 06:47:21
62984.09,BTC,USD,27-Apr-2024 06:55:43
63047.205,BTC,USD,27-Apr-2024 07:04:44
63066.955,BTC,USD,27-Apr-2024 07:14:34
63079.66,BTC,USD,27-Apr-2024 07:22:30
63054.175,BTC,USD,27-Apr-2024 07:30:35
63003.455,BTC,USD,27-Apr-2024 07:38:42
63002.555,BTC,USD,27-Apr-2024 07:46:43
62938.22,BTC,USD,27-Apr-2024 07:54:51
62977.6,BTC,USD,27-Apr-2024 08:04:16
62925.685,BTC,USD,27-Apr-2024 08:15:22
62959.78,BTC,USD,27-Apr-2024 08:26:16
62925.745,BTC,USD,27-Apr-2024 08:34:22
62950.4,BTC,USD,27-Apr-2024 08:42:28
62972.31,BTC,USD,27-Apr-2024 08:50:35
62985.115,BTC,USD,27-Apr-2024 08:58:37
